  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 8932                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.452 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -25.000  -0.4390   0.29963   0.29621  -0.0183   0.9752   0.0589
 -23.000  -0.3977   0.27605   0.27264  -0.0312   0.9752   0.0665
 -22.500  -0.3772   0.27317   0.26978  -0.0331   0.9749   0.0678
 -22.000  -0.3598   0.26950   0.26613  -0.0353   0.9747   0.0703
 -20.500  -0.3384   0.24693   0.24353  -0.0454   0.9728   0.0704
 -20.000  -0.3761   0.22642   0.22293  -0.0541   0.9714   0.0760
 -19.500  -0.3495   0.22409   0.22063  -0.0570   0.9706   0.0769
 -19.000  -0.3168   0.22252   0.21907  -0.0604   0.9697   0.0779
 -18.500  -0.2876   0.22001   0.21658  -0.0646   0.9690   0.0795
 -18.000  -0.3231   0.20149   0.19795  -0.0757   0.9682   0.0883
 -17.500  -0.2860   0.20222   0.19870  -0.0803   0.9677   0.0895
 -17.000  -0.3156   0.19482   0.19141  -0.0689   0.9605   0.0905
 -16.500  -0.2834   0.19079   0.18738  -0.0747   0.9586   0.0928
 -16.000  -0.3247   0.17139   0.16787  -0.0873   0.9573   0.1041
 -15.000  -0.7097   0.09750   0.09290  -0.1150   0.9375   0.1350
 -14.500  -0.6916   0.09115   0.08651  -0.1219   0.9358   0.1391
 -13.500  -0.6944   0.07810   0.07321  -0.1260   0.9177   0.1459
 -13.000  -0.6710   0.07296   0.06795  -0.1304   0.9136   0.1495
 -12.000  -0.6396   0.06373   0.05873  -0.1346   0.9001   0.1595
 -11.000  -0.6058   0.05465   0.04941  -0.1386   0.8854   0.1666
 -10.500  -0.5701   0.05119   0.04593  -0.1414   0.8827   0.1728
  -9.500  -0.5365   0.04403   0.03874  -0.1417   0.8653   0.1833
  -9.000  -0.4977   0.04072   0.03531  -0.1445   0.8616   0.1877
  -8.500  -0.4856   0.03858   0.03306  -0.1416   0.8470   0.1906
  -8.000  -0.4590   0.03534   0.02984  -0.1423   0.8396   0.1994
  -7.500  -0.4069   0.03236   0.02683  -0.1467   0.8343   0.2066
  -7.000  -0.4179   0.03098   0.02536  -0.1387   0.8134   0.2106
  -6.500  -0.3755   0.02852   0.02271  -0.1406   0.8044   0.2143
  -6.000  -0.3788   0.02751   0.02172  -0.1328   0.7872   0.2219
